Iran		asia	$101,461	0.91%	$115,329	1.01%	$144,331	1.29%	$175,751	1.54%	$182,220	1.54%	$86,413	0.70%	$90,169	0.62%	$103,856	0.63%	$91,069	0.49%	$87,878	0.45%	$91,941	0.42%	$105,345	0.46%	$124,187	0.50%	$92,919	0.36%	$72,595	0.26%	$98,287	0.32%	$119,693	0.38%	$115,071	0.37%	$105,894	0.34%	$113,237	0.35%	$104,348	0.31%	$126,875	0.38%	$128,627	0.38%	$151,911	0.39%	$181,485	0.42%	$218,335	0.46%	$257,773	0.51%	$337,326	0.59%	$391,165	0.62%	$396,738	0.66%	$463,971	0.71%	$564,459	0.78%	$418,913	0.57%	$380,348	0.50%	$404,132	0.52%	$393,495	0.53%
Thailand		asia	$32,353	0.29%	$34,848	0.31%	$36,591	0.33%	$40,043	0.35%	$41,799	0.35%	$38,900	0.32%	$43,097	0.30%	$50,535	0.30%	$61,667	0.33%	$72,251	0.37%	$85,640	0.39%	$96,188	0.42%	$109,426	0.44%	$121,796	0.47%	$144,308	0.52%	$168,019	0.55%	$181,948	0.58%	$150,891	0.48%	$111,860	0.36%	$122,630	0.38%	$122,725	0.37%	$115,536	0.35%	$126,877	0.37%	$142,640	0.37%	$161,340	0.37%	$176,352	0.38%	$207,089	0.41%	$246,977	0.43%	$272,578	0.43%	$263,711	0.44%	$318,908	0.49%	$345,672	0.48%	$365,966	0.50%	$387,253	0.51%	$373,804	0.48%	$386,291	0.52%
United Arab Emirates
asia	$40,415	0.36%	$45,002	0.40%	$41,848	0.38%	$38,345	0.34%	$38,012	0.32%	$37,310	0.30%	$29,568	0.20%	$32,466	0.20%	$32,999	0.18%	$38,090	0.19%	$49,090	0.23%	$49,821	0.22%	$52,208	0.21%	$53,438	0.21%	$57,450	0.21%	$63,637	0.21%	$70,991	0.23%	$76,202	0.24%	$73,394	0.24%	$82,865	0.26%	$103,893	0.31%	$103,312	0.31%	$109,816	0.32%	$124,346	0.32%	$147,824	0.34%	$180,617	0.38%	$222,117	0.44%	$257,916	0.45%	$315,475	0.50%	$253,547	0.42%	$286,049	0.44%	$347,454	0.48%	$372,314	0.51%	$402,340	0.53%	$401,647	0.52%	$363,707	0.49%
Malaysia		asia	$24,567	0.22%	$25,084	0.22%	$26,882	0.24%	$30,065	0.26%	$34,052	0.29%	$31,300	0.25%	$27,823	0.19%	$31,703	0.19%	$34,747	0.19%	$38,267	0.20%	$43,370	0.20%	$49,134	0.21%	$59,152	0.24%	$66,894	0.26%	$74,483	0.27%	$88,832	0.29%	$100,851	0.32%	$100,169	0.32%	$72,175	0.23%	$79,149	0.25%	$93,789	0.28%	$92,784	0.28%	$100,846	0.29%	$110,202	0.29%	$124,750	0.29%	$143,540	0.31%	$162,749	0.32%	$193,614	0.34%	$231,072	0.37%	$202,284	0.34%	$247,539	0.38%	$289,336	0.40%	$304,957	0.41%	$313,158	0.41%	$326,933	0.42%	$327,890	0.44%
Netherlands		europe	$189,096	1.70%	$158,492	1.39%	$153,551	1.38%	$149,495	1.31%	$139,147	1.17%	$141,174	1.15%	$196,748	1.36%	$240,985	1.45%	$257,725	1.38%	$253,946	1.30%	$313,332	1.44%	$322,734	1.40%	$357,195	1.43%	$347,371	1.35%	$373,133	1.35%	$445,184	1.45%	$442,732	1.40%	$410,293	1.31%	$431,767	1.39%	$440,515	1.37%	$414,609	1.25%	$426,457	1.29%	$466,123	1.36%	$572,010	1.48%	$646,919	1.49%	$673,525	1.43%	$720,044	1.41%	$834,346	1.45%	$935,707	1.49%	$860,261	1.44%	$837,949	1.29%	$894,576	1.24%	$823,595	1.12%	$853,806	1.13%	$866,354	1.12%	$749,365	1.00%
Switzerland		europe	$118,714	1.07%	$108,640	0.95%	$111,293	1.00%	$110,985	0.97%	$106,010	0.89%	$107,528	0.87%	$154,096	1.07%	$192,905	1.16%	$208,766	1.12%	$201,621	1.03%	$257,506	1.18%	$260,478	1.13%	$270,944	1.08%	$263,415	1.03%	$291,838	1.06%	$341,824	1.11%	$329,667	1.05%	$286,544	0.91%	$294,664	0.95%	$289,512	0.90%	$271,801	0.82%	$278,742	0.85%	$301,279	0.88%	$352,287	0.91%	$393,044	0.91%	$407,535	0.87%	$429,392	0.84%	$477,686	0.83%	$551,013	0.87%	$539,785	0.90%	$580,696	0.89%	$696,528	0.96%	$665,898	0.91%	$685,871	0.91%	$712,050	0.92%	$688,434	0.92%
Germany		europe	$849,657	7.62%	$714,858	6.28%	$690,259	6.19%	$688,632	6.02%	$648,809	5.47%	$657,903	5.35%	$939,647	6.50%	$1,169,290	7.05%	$1,260,617	6.77%	$1,251,431	6.40%	$1,591,060	7.31%	$1,866,725	8.09%	$2,127,854	8.51%	$2,069,688	8.06%	$2,210,829	8.03%	$2,592,715	8.45%	$2,502,443	7.94%	$2,218,647	7.07%	$2,242,990	7.20%	$2,199,570	6.83%	$1,952,920	5.89%	$1,949,602	5.91%	$2,083,653	6.08%	$2,507,101	6.50%	$2,819,292	6.49%	$2,862,521	6.09%	$3,001,251	5.89%	$3,440,446	5.99%	$3,764,675	5.98%	$3,421,630	5.73%	$3,418,371	5.24%	$3,755,549	5.20%	$3,535,199	4.81%	$3,731,427	4.94%	$3,859,547	4.99%	$3,413,483	4.57%
United Kingdom
europe	$565,512	5.07%	$545,679	4.79%	$516,078	4.63%	$489,990	4.29%	$463,636	3.91%	$494,228	4.02%	$601,929	4.17%	$747,282	4.51%	$911,471	4.90%	$928,912	4.75%	$1,098,800	5.05%	$1,146,490	4.97%	$1,186,732	4.74%	$1,063,030	4.14%	$1,141,346	4.14%	$1,235,906	4.03%	$1,305,911	4.14%	$1,439,174	4.59%	$1,529,355	4.91%	$1,558,667	4.84%	$1,551,752	4.68%	$1,529,619	4.64%	$1,677,162	4.89%	$1,945,762	5.05%	$2,299,259	5.29%	$2,415,053	5.14%	$2,586,548	5.07%	$2,964,399	5.16%	$2,814,476	4.47%	$2,318,782	3.88%	$2,409,409	3.70%	$2,594,114	3.59%	$2,624,291	3.57%	$2,680,123	3.55%	$2,945,146	3.81%	$2,853,357	3.82%
France		europe	$704,483	6.32%	$621,003	5.46%	$589,985	5.29%	$564,492	4.94%	$534,310	4.51%	$559,636	4.55%	$775,929	5.37%	$939,317	5.66%	$1,025,545	5.51%	$1,031,095	5.27%	$1,278,570	5.87%	$1,279,902	5.55%	$1,411,665	5.64%	$1,331,523	5.18%	$1,404,321	5.10%	$1,610,933	5.25%	$1,614,607	5.12%	$1,462,388	4.66%	$1,512,844	4.86%	$1,502,245	4.66%	$1,372,452	4.14%	$1,383,406	4.20%	$1,505,649	4.39%	$1,851,660	4.80%	$2,126,995	4.90%	$2,207,450	4.69%	$2,327,052	4.57%	$2,666,805	4.64%	$2,937,321	4.66%	$2,700,658	4.52%	$2,651,772	4.07%	$2,865,304	3.97%	$2,688,210	3.66%	$2,807,306	3.72%	$2,846,889	3.68%	$2,469,530	3.31%
Poland		europe	$56,619	0.51%	$53,647	0.47%	$65,187	0.58%	$75,406	0.66%	$75,507	0.64%	$70,775	0.58%	$73,677	0.51%	$63,714	0.38%	$68,612	0.37%	$66,895	0.34%	$62,084	0.29%	$80,451	0.35%	$88,713	0.35%	$90,366	0.35%	$103,683	0.38%	$139,089	0.45%	$156,684	0.50%	$157,183	0.50%	$172,050	0.55%	$167,799	0.52%	$171,276	0.52%	$190,430	0.58%	$198,679	0.58%	$217,514	0.56%	$253,709	0.58%	$304,430	0.65%	$343,272	0.67%	$429,172	0.75%	$530,170	0.84%	$436,817	0.73%	$476,528	0.73%	$524,104	0.73%	$496,687	0.68%	$526,031	0.70%	$546,644	0.71%	$491,239	0.66%
Sweden		europe	$136,409	1.22%	$124,507	1.09%	$109,664	0.98%	$100,811	0.88%	$104,838	0.88%	$109,814	0.89%	$145,360	1.01%	$177,085	1.07%	$200,080	1.07%	$210,937	1.08%	$252,396	1.16%	$266,299	1.15%	$275,698	1.10%	$209,950	0.82%	$226,081	0.82%	$264,053	0.86%	$288,106	0.91%	$264,478	0.84%	$266,802	0.86%	$270,847	0.84%	$259,801	0.78%	$239,916	0.73%	$263,926	0.77%	$331,109	0.86%	$381,706	0.88%	$389,043	0.83%	$420,029	0.82%	$487,818	0.85%	$513,966	0.82%	$429,656	0.72%	$488,378	0.75%	$563,110	0.78%	$543,881	0.74%	$579,526	0.77%	$570,137	0.74%	$487,396	0.65%
Belgium		europe	$123,949	1.11%	$102,634	0.90%	$90,301	0.81%	$85,361	0.75%	$81,546	0.69%	$84,789	0.69%	$117,509	0.81%	$145,965	0.88%	$158,699	0.85%	$160,425	0.82%	$200,911	0.92%	$206,152	0.89%	$229,604	0.92%	$219,554	0.85%	$239,531	0.87%	$289,399	0.94%	$280,881	0.89%	$254,416	0.81%	$260,171	0.84%	$260,007	0.81%	$238,032	0.72%	$237,601	0.72%	$259,304	0.76%	$319,182	0.83%	$370,947	0.85%	$387,618	0.82%	$411,059	0.81%	$472,964	0.82%	$522,556	0.83%	$487,065	0.82%	$485,307	0.74%	$528,721	0.73%	$499,129	0.68%	$524,970	0.69%	$534,672	0.69%	$463,799	0.62%
Norway		europe	$64,439	0.58%	$63,597	0.56%	$62,647	0.56%	$61,627	0.54%	$62,058	0.52%	$65,417	0.53%	$78,693	0.54%	$94,231	0.57%	$101,901	0.55%	$102,634	0.52%	$119,791	0.55%	$121,872	0.53%	$130,838	0.52%	$120,578	0.47%	$127,132	0.46%	$152,028	0.50%	$163,517	0.52%	$161,354	0.51%	$154,165	0.49%	$162,287	0.50%	$171,315	0.52%	$174,004	0.53%	$195,419	0.57%	$228,752	0.59%	$264,356	0.61%	$308,722	0.66%	$345,423	0.68%	$400,886	0.70%	$461,946	0.73%	$386,382	0.65%	$428,527	0.66%	$498,157	0.69%	$509,705	0.69%	$522,349	0.69%	$500,244	0.65%	$420,958	0.56%
Italy		europe	$470,040	4.22%	$426,260	3.74%	$421,268	3.78%	$437,165	3.82%	$431,921	3.64%	$446,033	3.63%	$631,723	4.37%	$792,881	4.78%	$878,449	4.72%	$913,628	4.67%	$1,140,235	5.24%	$1,204,452	5.22%	$1,278,096	5.11%	$1,027,753	4.00%	$1,060,058	3.85%	$1,171,826	3.82%	$1,309,765	4.16%	$1,240,857	3.95%	$1,268,435	4.07%	$1,250,698	3.88%	$1,145,564	3.45%	$1,163,784	3.53%	$1,271,528	3.71%	$1,573,335	4.08%	$1,801,568	4.15%	$1,856,684	3.95%	$1,945,234	3.82%	$2,207,143	3.84%	$2,403,213	3.81%	$2,191,781	3.67%	$2,130,586	3.27%	$2,280,315	3.16%	$2,076,370	2.82%	$2,137,615	2.83%	$2,147,952	2.78%	$1,842,835	2.47%
